"Aircraft_Make";"Aircraft_Model";"Aircraft_Series";"Incidentes";"Fallecidos"
"CALLAIR";"A6";"NO SERIES EXISTS";1;0
"CALLAIR";"A9";"A";10;0
"CALLAIR";"A9";"B";12;0
"CALLAIR";"B1";"A";2;0
"CAMERON";"A105";"NO SERIES EXISTS";7;0
"CAMERON";"A140";"NO SERIES EXISTS";6;0
"CAMERON";"A180";"NO SERIES EXISTS";1;0
"CAMERON";"A210";"NO SERIES EXISTS";6;0
"CAMERON";"A250";"NO SERIES EXISTS";3;0
"CAMERON";"A315";"NO SERIES EXISTS";2;0
"CAMERON";"C80";"NO SERIES EXISTS";1;0
"CAMERON";"N105";"NO SERIES EXISTS";5;0
"CAMERON";"N120";"NO SERIES EXISTS";3;0
"CAMERON";"N133";"UNDESIGNATED SERIES";1;0
"CAMERON";"N160";"NO SERIES EXISTS";3;0
"CAMERON";"N65";"NO SERIES EXISTS";1;0
"CAMERON";"N77";"NO SERIES EXISTS";3;0
"CAMERON";"N90";"UNDESIGNATED SERIES";6;0
"CAMERON";"O105";"NO SERIES EXISTS";2;0
"CAMERON";"O56";"NO SERIES EXISTS";1;0
"CAMERON";"O65";"NO SERIES EXISTS";3;0
"CAMERON";"O77";"UNDESIGNATED SERIES";10;0
"CAMERON";"O84";"NO SERIES EXISTS";2;0
"CAMERON";"O90";"NO SERIES EXISTS";2;0
"CAMERON";"V56";"NO SERIES EXISTS";2;0
"CAMERON";"V77";"NO SERIES EXISTS";8;0
"CAMERON";"V90";"UNDESIGNATED SERIES";4;0
"CAMERON";"Z90";"NO SERIES EXISTS";3;0
"CANADAIR";"CL215 1A10";"215";2;0
"CANADAIR";"CL44";"D4";4;0
"CANADAIR";"CL44";"J";1;0
"CANADAIR";"CL600 1A11";"600";53;0
"CANADAIR";"CL600 2A12";"601";17;0
"CANADAIR";"CL600 2B16";"6013A";2;0
"CANADAIR";"CL600 2B16";"UNDESIGNATED SERIES";43;0
"CANADAIR";"F86E";"VI";3;0
"CANADAIR";"T33";"T33";1;0
"CASA";"1 131";"UNDESIGNATED SERIES";3;0
"CASA";"C212";"CB";7;3
"CASA";"C212";"CC";7;0
"CASA";"C212";"CD";3;0
"CASA";"C212";"UNDESIGNATED SERIES";27;1
"CASSUTT";"IIIM";"SPORT";6;0
"CASSUTT";"SPECIAL";"I";2;0
"CASSUTT";"SPECIAL";"II";2;0
"CCF";"HARVARD";"IV";1;0
"CENTRAIR";"101";"A";3;0
"CENTRAIR";"101";"UNDESIGNATED SERIES";4;0
"CESSNA";"120";"NO SERIES EXISTS";71;0
"CESSNA";"140";"A";14;0
"CESSNA";"140";"UNDESIGNATED SERIES";201;0
"CESSNA";"150";"A";11;0
"CESSNA";"150";"B";12;0
"CESSNA";"150";"C";18;0
"CESSNA";"150";"D";30;0
"CESSNA";"150";"E";33;0
"CESSNA";"150";"F";177;0
"CESSNA";"150";"G";189;1
"CESSNA";"150";"H";184;0
"CESSNA";"150";"J";166;0
"CESSNA";"150";"K";94;0
"CESSNA";"150";"L";540;0
"CESSNA";"150";"M";693;0
"CESSNA";"150";"UNDESIGNATED SERIES";365;0
"CESSNA";"152";"NO SERIES EXISTS";2464;1
"CESSNA";"162";"NO SERIES EXISTS";9;0
"CESSNA";"170";"A";73;0
"CESSNA";"170";"B";154;3
"CESSNA";"170";"UNDESIGNATED SERIES";60;0
"CESSNA";"172";"A";57;0
"CESSNA";"172";"B";50;1
"CESSNA";"172";"C";66;0
"CESSNA";"172";"D";54;0
"CESSNA";"172";"E";82;0
"CESSNA";"172";"F";112;1
"CESSNA";"172";"G";109;1
"CESSNA";"172";"H";121;0
"CESSNA";"172";"I";55;0
"CESSNA";"172";"K";181;2
"CESSNA";"172";"L";122;2
"CESSNA";"172";"M";788;1
"CESSNA";"172";"N";1216;5
"CESSNA";"172";"P";615;3
"CESSNA";"172";"Q";7;0
"CESSNA";"172";"R";122;0
"CESSNA";"172";"S";258;0
"CESSNA";"172";"UNDESIGNATED SERIES";503;5
"CESSNA";"172RG";"NO SERIES EXISTS";725;0
"CESSNA";"175";"A";41;0
"CESSNA";"175";"B";18;0
"CESSNA";"175";"C";11;0
"CESSNA";"175";"UNDESIGNATED SERIES";87;2
"CESSNA";"177";"A";15;0
"CESSNA";"177";"B";137;0
"CESSNA";"177";"UNDESIGNATED SERIES";148;0
"CESSNA";"177RG";"NO SERIES EXISTS";832;1
"CESSNA";"180";"A";36;2
"CESSNA";"180";"B";15;0
"CESSNA";"180";"C";14;0
"CESSNA";"180";"D";13;2
"CESSNA";"180";"E";2;0
"CESSNA";"180";"F";8;0
"CESSNA";"180";"G";6;0
"CESSNA";"180";"H";49;1
"CESSNA";"180";"J";52;0
"CESSNA";"180";"K";57;1
"CESSNA";"180";"UNDESIGNATED SERIES";282;34
"CESSNA";"182";"A";229;69
"CESSNA";"182";"B";85;23
"CESSNA";"182";"C";72;11
"CESSNA";"182";"D";45;7
"CESSNA";"182";"E";57;6
"CESSNA";"182";"F";36;3
"CESSNA";"182";"G";52;1
"CESSNA";"182";"H";62;6
"CESSNA";"182";"J";63;1
"CESSNA";"182";"K";49;1
"CESSNA";"182";"L";58;0
"CESSNA";"182";"M";57;0
"CESSNA";"182";"N";61;3
"CESSNA";"182";"P";289;4
"CESSNA";"182";"Q";223;1
"CESSNA";"182";"R";647;0
"CESSNA";"182";"S";24;0
"CESSNA";"182";"T";58;0
"CESSNA";"182";"UNDESIGNATED SERIES";363;91
"CESSNA";"185";"A";13;1
"CESSNA";"185";"B";6;0
"CESSNA";"185";"C";8;0
"CESSNA";"185";"D";6;0
"CESSNA";"185";"E";16;0
"CESSNA";"185";"UNDESIGNATED SERIES";94;2
"CESSNA";"188";"A";16;0
"CESSNA";"188";"B";35;0
"CESSNA";"188";"UNDESIGNATED SERIES";30;0
"CESSNA";"190";"NO SERIES EXISTS";7;0
"CESSNA";"195";"A";18;0
"CESSNA";"195";"B";20;0
"CESSNA";"195";"UNDESIGNATED SERIES";28;0
"CESSNA";"206";"H";11;0
"CESSNA";"206";"UNDESIGNATED SERIES";132;10
"CESSNA";"207";"A";132;0
"CESSNA";"207";"UNDESIGNATED SERIES";129;0
"CESSNA";"208";"A";9;0
"CESSNA";"208";"B";139;11
"CESSNA";"208";"UNDESIGNATED SERIES";60;6
"CESSNA";"210";"A";67;0
"CESSNA";"210";"B";83;1
"CESSNA";"210";"C";43;0
"CESSNA";"210";"D";105;0
"CESSNA";"210";"E";74;0
"CESSNA";"210";"F";27;0
"CESSNA";"210";"G";52;0
"CESSNA";"210";"H";44;2
"CESSNA";"210";"J";40;0
"CESSNA";"210";"K";72;0
"CESSNA";"210";"L";312;0
"CESSNA";"210";"M";163;0
"CESSNA";"210";"N";120;0
"CESSNA";"210";"R";1;0
"CESSNA";"210";"UNDESIGNATED SERIES";415;6
"CESSNA";"305";"A";42;0
"CESSNA";"305";"B";2;0
"CESSNA";"305";"C";2;0
"CESSNA";"305";"E";1;0
"CESSNA";"305";"F";3;0
"CESSNA";"305";"UNDESIGNATED SERIES";5;0
"CESSNA";"310";"A";25;0
"CESSNA";"310";"B";59;0
"CESSNA";"310";"C";59;0
"CESSNA";"310";"D";74;0
"CESSNA";"310";"E";3;0
"CESSNA";"310";"F";35;0
"CESSNA";"310";"G";30;0
"CESSNA";"310";"H";49;0
"CESSNA";"310";"I";72;0
"CESSNA";"310";"J";83;0
"CESSNA";"310";"K";80;0
"CESSNA";"310";"L";94;0
"CESSNA";"310";"N";89;0
"CESSNA";"310";"P";83;0
"CESSNA";"310";"Q";197;0
"CESSNA";"310";"R";274;1
"CESSNA";"310";"UNDESIGNATED SERIES";176;0
"CESSNA";"320";"A";12;0
"CESSNA";"320";"B";20;0
"CESSNA";"320";"C";17;0
"CESSNA";"320";"D";36;0
"CESSNA";"320";"E";47;0
"CESSNA";"320";"F";22;0
"CESSNA";"320";"UNDESIGNATED SERIES";49;0
"CESSNA";"321";"NO SERIES EXISTS";1;0
"CESSNA";"335";"NO SERIES EXISTS";12;0
"CESSNA";"336";"NO SERIES EXISTS";5;0
"CESSNA";"337";"A";26;0
"CESSNA";"337";"B";17;0
"CESSNA";"337";"C";17;0
"CESSNA";"337";"D";23;0
"CESSNA";"337";"E";11;0
"CESSNA";"337";"F";11;0
"CESSNA";"337";"G";69;0
"CESSNA";"337";"H";13;0
"CESSNA";"337";"UNDESIGNATED SERIES";70;0
"CESSNA";"340";"A";209;0
"CESSNA";"340";"UNDESIGNATED SERIES";122;0
"CESSNA";"401";"A";50;0
"CESSNA";"401";"B";27;0
"CESSNA";"401";"UNDESIGNATED SERIES";63;0
"CESSNA";"402";"A";70;0
"CESSNA";"402";"B";283;1
"CESSNA";"402";"C";343;0
"CESSNA";"402";"UNDESIGNATED SERIES";117;1
"CESSNA";"404";"NO SERIES EXISTS";115;0
"CESSNA";"411";"A";12;0
"CESSNA";"411";"UNDESIGNATED SERIES";38;0
"CESSNA";"414";"A";185;1
"CESSNA";"414";"UNDESIGNATED SERIES";186;0
"CESSNA";"421";"A";37;0
"CESSNA";"421";"B";215;0
"CESSNA";"421";"C";287;0
"CESSNA";"421";"UNDESIGNATED SERIES";99;0
"CESSNA";"425";"NO SERIES EXISTS";38;0
"CESSNA";"441";"NO SERIES EXISTS";100;0
"CESSNA";"500";"NO SERIES EXISTS";84;0
"CESSNA";"501";"NO SERIES EXISTS";57;0
"CESSNA";"510";"NO SERIES EXISTS";10;0
"CESSNA";"525";"A";12;0
"CESSNA";"525";"B";16;0
"CESSNA";"525";"C";4;0
"CESSNA";"525";"UNDESIGNATED SERIES";27;0
"CESSNA";"550";"NO SERIES EXISTS";186;0
"CESSNA";"551";"NO SERIES EXISTS";16;0
"CESSNA";"560";"UNDESIGNATED SERIES";75;0
"CESSNA";"560";"XL";50;0
"CESSNA";"650";"NO SERIES EXISTS";55;0
"CESSNA";"680";"UNDESIGNATED SERIES";15;0
"CESSNA";"750";"NO SERIES EXISTS";49;0
"CESSNA";"A150";"K";23;0
"CESSNA";"A150";"L";21;0
"CESSNA";"A150";"M";24;0
"CESSNA";"A185";"E";59;3
"CESSNA";"A185";"F";296;5
"CESSNA";"A188";"A";15;0
"CESSNA";"A188";"B";134;1
"CESSNA";"A37";"A";2;0
"CESSNA";"C145";"NO SERIES EXISTS";1;0
"CESSNA";"C165";"NO SERIES EXISTS";2;0
"CESSNA";"C37";"NO SERIES EXISTS";5;0
"CESSNA";"C38";"NO SERIES EXISTS";1;0
"CESSNA";"E310";"H";2;0
"CESSNA";"F406";"NO SERIES EXISTS";6;0
"CESSNA";"L19";"E";4;0
"CESSNA";"L19";"UNDESIGNATED SERIES";2;0
"CESSNA";"LC126";"C";1;0
"CESSNA";"LC41";"550FG";5;0
"CESSNA";"M337";"B";5;0
"CESSNA";"O2";"A";4;0
"CESSNA";"P172";"D";3;0
"CESSNA";"P206";"A";18;3
"CESSNA";"P206";"B";12;0
"CESSNA";"P206";"C";14;5
"CESSNA";"P206";"D";6;2
"CESSNA";"P206";"UNDESIGNATED SERIES";31;2
"CESSNA";"P210";"N";337;0
"CESSNA";"P210";"R";13;0
"CESSNA";"P337";"H";36;0
"CESSNA";"R172";"E";21;0
"CESSNA";"R172";"K";110;1
"CESSNA";"T182";"T";24;0
"CESSNA";"T188";"C";22;0
"CESSNA";"T206";"H";35;0
"CESSNA";"T207";"A";28;0
"CESSNA";"T207";"UNDESIGNATED SERIES";25;0
"CESSNA";"T210";"F";51;0
"CESSNA";"T210";"G";22;0
"CESSNA";"T210";"H";23;0
"CESSNA";"T210";"J";15;0
"CESSNA";"T210";"K";35;0
"CESSNA";"T210";"L";317;1
"CESSNA";"T210";"M";385;0
"CESSNA";"T210";"N";450;1
"CESSNA";"T210";"R";17;0
"CESSNA";"T210";"UNDESIGNATED SERIES";25;0
"CESSNA";"T240";"NO SERIES EXISTS";1;0
"CESSNA";"T303";"NO SERIES EXISTS";41;0
"CESSNA";"T310";"P";11;0
"CESSNA";"T310";"Q";35;0
"CESSNA";"T310";"R";37;0
"CESSNA";"T337";"B";10;0
"CESSNA";"T337";"C";5;0
"CESSNA";"T337";"D";3;0
"CESSNA";"T337";"E";5;0
"CESSNA";"T337";"F";3;0
"CESSNA";"T337";"G";76;0
"CESSNA";"T337";"H";13;0
"CESSNA";"T337";"UNDESIGNATED SERIES";3;0
"CESSNA";"T41";"A";3;0
"CESSNA";"T41";"B";2;0
"CESSNA";"T50";"NO SERIES EXISTS";3;0
"CESSNA";"TO1";"D";1;0
"CESSNA";"TP206";"A";2;0
"CESSNA";"TR182";"NO SERIES EXISTS";209;0
"CESSNA";"TU206";"A";7;0
"CESSNA";"TU206";"B";8;0
"CESSNA";"TU206";"C";6;1
"CESSNA";"TU206";"D";6;0
"CESSNA";"TU206";"F";35;4
"CESSNA";"TU206";"G";91;0
"CESSNA";"TU206";"UNDESIGNATED SERIES";10;1
"CESSNA";"U206";"A";5;0
"CESSNA";"U206";"B";14;1
"CESSNA";"U206";"C";16;7
"CESSNA";"U206";"D";7;0
"CESSNA";"U206";"E";18;1
"CESSNA";"U206";"F";104;2
"CESSNA";"U206";"G";110;1
"CESSNA";"U206";"UNDESIGNATED SERIES";42;3
"CESSNA";"U3";"A";4;0
"CESSNA";"UC78";"B";1;0
"CGS";"HAWK";"UNDESIGNATED SERIES";7;1
"CHAMPION";"7ACA";"NO SERIES EXISTS";10;0
"CHAMPION";"7EC";"NO SERIES EXISTS";6;0
"CHAMPION";"7ECA";"NO SERIES EXISTS";221;0
"CHAMPION";"7FC";"NO SERIES EXISTS";20;0
"CHAMPION";"7GC";"NO SERIES EXISTS";10;0
"CHAMPION";"7GCA";"NO SERIES EXISTS";1;0
"CHAMPION";"7GCAA";"NO SERIES EXISTS";63;0
"CHAMPION";"7GCB";"NO SERIES EXISTS";1;0
"CHAMPION";"7GCBC";"NO SERIES EXISTS";168;0
"CHAMPION";"7HC";"NO SERIES EXISTS";6;0
"CHAMPION";"7JC";"NO SERIES EXISTS";2;0
"CHAMPION";"7KCAB";"NO SERIES EXISTS";94;1
"CHAMPION";"8GCBC";"NO SERIES EXISTS";62;0
"CHAMPION";"8KCAB";"NO SERIES EXISTS";110;0
"CHRIS TENA";"MINI COUPE";"NO SERIES EXISTS";3;0
"CHRISTEN";"A1";"UNDESIGNATED SERIES";44;0
"CHRISTEN";"EAGLE II";"NO SERIES EXISTS";26;0
"CIRRUS";"SR20";"NO SERIES EXISTS";87;0
"CIRRUS";"SR22";"T";6;0
"CIRRUS";"SR22";"UNDESIGNATED SERIES";115;0
"CO Z";"COZY";"IV";11;0
"CO Z";"COZY";"UNDESIGNATED SERIES";23;0
"COLT";"105A";"NO SERIES EXISTS";7;0
"COLT";"160A";"NO SERIES EXISTS";1;0
"COLT";"180A";"NO SERIES EXISTS";1;0
"COLT";"240A";"NO SERIES EXISTS";5;0
"COLT";"69A";"NO SERIES EXISTS";1;0
"COMCO IKARUS";"IKARUS C42";"UNDESIGNATED SERIES";1;0
"COMMANDER";"114";"B";9;0
"CONSOLIDATED VULTEE";"B24";"UNDESIGNATED SERIES";2;0
"CONSOLIDATED VULTEE";"BT13";"A";10;0
"CONSOLIDATED VULTEE";"BT13";"UNDESIGNATED SERIES";6;0
"CONSOLIDATED VULTEE";"L13";"A";1;0
"CONSOLIDATED VULTEE";"L13";"UNDESIGNATED SERIES";1;0
"CONSOLIDATED VULTEE";"PBY5A";"NO SERIES EXISTS";1;0
"CONVAIR";"22";"M";1;0
"CONVAIR";"22";"UNDESIGNATED SERIES";1;0
"CONVAIR";"240";"0";2;0
"CONVAIR";"240";"1";2;0
"CONVAIR";"240";"17";1;0
"CONVAIR";"240";"27";15;0
"CONVAIR";"240";"4";1;0
"CONVAIR";"240";"UNDESIGNATED SERIES";54;0
"CONVAIR";"30";"A";1;0
"CONVAIR";"30";"UNDESIGNATED SERIES";1;0
"CONVAIR";"340";"30";13;0
"CONVAIR";"340";"UNDESIGNATED SERIES";195;0
"CONVAIR";"440";"NO SERIES EXISTS";48;0
"CONVAIR";"580";"NO SERIES EXISTS";1;0
"CONVAIR";"640";"NO SERIES EXISTS";6;0
"CONVAIR";"C131";"E";2;0
"CONVAIR";"T29";"B";7;0
"CORBEN";"BABYACE";"C";2;0
"CORBEN";"BABYACE";"D";10;0
"CORBEN";"BABYACE";"UNDESIGNATED SERIES";8;0
"CORBEN";"JUNIORACE";"E";3;0
"CUB CRAFTERS";"CC18";"180";1;0
"CULVER";"LCA";"NO SERIES EXISTS";7;0
"CULVER";"LFA";"NO SERIES EXISTS";1;0
"CULVER";"V";"UNDESIGNATED SERIES";4;0
"CURTISS WRIGHT";"C46";"D";2;0
"CURTISS WRIGHT";"C46";"F";8;0
"CURTISS WRIGHT";"C46";"R";1;0
"CURTISS WRIGHT";"C46";"UNDESIGNATED SERIES";7;0
"CURTISS WRIGHT";"P40";"E";2;0
"CURTISS WRIGHT";"P40";"N";7;0
"CURTISS WRIGHT";"P40";"UNDESIGNATED SERIES";1;0
"CVJETKOVIC";"CA65";"UNDESIGNATED SERIES";2;0
"CZECH SPORT";"PIPERSPORT";"NO SERIES EXISTS";5;0
"CZECH SPORT";"SPORTCRUISER";"NO SERIES EXISTS";11;0
"DASSAULT";"FALCON10";"NO SERIES EXISTS";138;0
"DASSAULT";"FALCON2000";"EX";2;0
"DASSAULT";"FALCON2000";"UNDESIGNATED SERIES";20;0
"DASSAULT";"FALCON50";"UNDESIGNATED SERIES";43;0
"DASSAULT";"FALCON7X";"NO SERIES EXISTS";1;0
"DASSAULT";"FALCON900";"UNDESIGNATED SERIES";21;1
"DASSAULT";"FALCON900EX";"NO SERIES EXISTS";7;0
"DASSAULT";"FANJET FALCON";"E";4;0
"DASSAULT";"FANJET FALCON";"UNDESIGNATED SERIES";4;0
"DASSAULT";"MYSTERE FALCON20";"C5";20;0
"DASSAULT";"MYSTERE FALCON20";"D5";17;0
"DASSAULT";"MYSTERE FALCON20";"F5";1;0
"DASSAULT";"MYSTERE FALCON20";"UNDESIGNATED SERIES";28;0
"DASSAULT";"MYSTERE FALCON200";"NO SERIES EXISTS";10;0
"DASSAULT";"MYSTERE1";"NO SERIES EXISTS";4;0
"DAVIS";"DA2A";"NO SERIES EXISTS";5;0
"DE HAVILLAND";"DH104";"5A";3;0
"DE HAVILLAND";"DH104";"6A";1;0
"DE HAVILLAND";"DH104";"6BA";3;0
"DE HAVILLAND";"DH104";"7AXC";1;0
"DE HAVILLAND";"DH104";"UNDESIGNATED SERIES";2;0
"DE HAVILLAND";"DH112";"UNDESIGNATED SERIES";2;0
"DE HAVILLAND";"DH114";"2DA";3;0
"DE HAVILLAND";"DH114";"2X";17;0
"DE HAVILLAND";"DH114";"UNDESIGNATED SERIES";7;0
"DE HAVILLAND";"DH125";"1521";5;0
"DE HAVILLAND";"DH82";"A";14;0
"DE HAVILLAND";"DH82";"C";1;0
"DE HAVILLAND";"DH82";"UNDESIGNATED SERIES";2;0
"DE HAVILLAND";"DHC1";"22";2;0
"DE HAVILLAND";"DHC1";"T10";1;0
"DE HAVILLAND";"DHC1";"UNDESIGNATED SERIES";9;0
"DE HAVILLAND";"DHC1A";"UNDESIGNATED SERIES";1;0
"DE HAVILLAND";"DHC1B";"2S3";6;0
"DE HAVILLAND";"DHC2";"I";66;2
"DE HAVILLAND";"DHC2";"II";3;0
"DE HAVILLAND";"DHC2";"III";11;0
"DE HAVILLAND";"DHC2";"UNDESIGNATED SERIES";45;2
"DE HAVILLAND";"DHC3";"UNDESIGNATED SERIES";40;0
"DE HAVILLAND";"DHC4";"A";11;1
"DE HAVILLAND";"DHC6";"1";3;3
"DE HAVILLAND";"DHC6";"100";12;5
"DE HAVILLAND";"DHC6";"200";40;12
"DE HAVILLAND";"DHC6";"300";71;2
"DE HAVILLAND";"DHC6";"UNDESIGNATED SERIES";166;47
"DE HAVILLAND";"DHC7";"1";14;0
"DE HAVILLAND";"DHC7";"100";5;0
"DE HAVILLAND";"DHC7";"102";50;0
"DE HAVILLAND";"DHC7";"103";2;0
"DE HAVILLAND";"DHC7";"UNDESIGNATED SERIES";1;0
"DE HAVILLAND";"DHC8";"101";8;0
"DE HAVILLAND";"DHC8";"102";225;0
"DE HAVILLAND";"DHC8";"103";6;0
"DE HAVILLAND";"DHC8";"106";2;0
"DE HAVILLAND";"DHC8";"201";4;0
"DE HAVILLAND";"DHC8";"202";27;0
"DE HAVILLAND";"DHC8";"301";2;0
"DE HAVILLAND";"DHC8";"311";18;0
"DE HAVILLAND";"DHC8";"401";11;0
"DE HAVILLAND";"DHC8";"402";38;0
"DE HAVILLAND";"DHC8";"UNDESIGNATED SERIES";14;0
"DE HAVILLAND";"L20A";"NO SERIES EXISTS";1;0
"DE HAVILLAND";"U6A";"NO SERIES EXISTS";1;0
"DENNEY";"KITFOX";"I";62;0
"DENNEY";"KITFOX";"II";5;0
"DENNEY";"KITFOX";"III";7;0
"DENNEY";"KITFOX";"IV";22;0
"DENNEY";"KITFOX";"IV1200";4;0
"DENNEY";"KITFOX";"UNDESIGNATED SERIES";10;0
"DIAMOND";"DA20";"A1";25;0
"DIAMOND";"DA20";"C1";81;0
"DIAMOND";"DA40";"F";1;0
"DIAMOND";"DA40";"UNDESIGNATED SERIES";65;0
"DIAMOND";"DA42";"NG";4;0
"DIAMOND";"DA42";"UNDESIGNATED SERIES";11;0
"DIAMOND";"DV20";"NO SERIES EXISTS";2;0
"DIAMOND";"HK36";"R";2;0
"DORNIER";"228";"201";10;1
"DORNIER";"228";"202";17;0
"DORNIER";"228";"212";1;0
"DORNIER";"328";"100";61;0
"DORNIER";"328";"300";23;0
"DORNIER";"DO27";"A1";1;0
"DORNIER";"DO27";"A4";1;0
"DORNIER";"DO27";"B1";1;0
"DORNIER";"DO27";"Q6";1;0
"DORNIER";"DO28A";"1";1;0
"DORNIER";"DO28B";"1";1;0
"DOUGLAS";"A24";"UNDESIGNATED SERIES";1;0
"DOUGLAS";"A26";"B";6;0
"DOUGLAS";"A26";"C";1;0
"DOUGLAS";"A26";"UNDESIGNATED SERIES";1;0
"DOUGLAS";"A4D";"UNDESIGNATED SERIES";3;0
"DOUGLAS";"B26";"UNDESIGNATED SERIES";1;0
"DOUGLAS";"C118";"A";8;0
"DOUGLAS";"C47";"A";4;1
"DOUGLAS";"C47";"B";2;0
"DOUGLAS";"C47";"UNDESIGNATED SERIES";13;3
"DOUGLAS";"C54";"A";1;0
"DOUGLAS";"C54";"B";1;0
"DOUGLAS";"C54";"BDC";3;0
"DOUGLAS";"C54";"D";1;0
"DOUGLAS";"C54";"DC";1;0
"DOUGLAS";"C54";"DDC";2;0
"DOUGLAS";"C54";"EDC";1;0
"DOUGLAS";"C54";"G";1;0
"DOUGLAS";"C54";"GDC";1;0
"DOUGLAS";"C54";"UNDESIGNATED SERIES";2;0
"DOUGLAS";"DC3";"A";29;5
"DOUGLAS";"DC3";"AS1C3G";6;1
"DOUGLAS";"DC3";"AS4C4G";6;0
"DOUGLAS";"DC3";"ASC3G";1;0
"DOUGLAS";"DC3";"C";95;5
"DOUGLAS";"DC3";"CR183090C";1;0
"DOUGLAS";"DC3";"CS1C3G";29;0
"DOUGLAS";"DC3";"CS4C4G";2;0
"DOUGLAS";"DC3";"G102A";4;4
"DOUGLAS";"DC3";"G202A";8;3
"DOUGLAS";"DC3";"SUPER";1;0
"DOUGLAS";"DC3";"UNDESIGNATED SERIES";91;18
"DOUGLAS";"DC4";"NO SERIES EXISTS";8;0
"DOUGLAS";"DC6";"A";20;0
"DOUGLAS";"DC6";"B";18;0
"DOUGLAS";"DC6";"UNDESIGNATED SERIES";12;0
"DOUGLAS";"DC7";"B";2;0
"DOUGLAS";"DC7";"C";2;0
"DOUGLAS";"DC7";"UNDESIGNATED SERIES";2;0
"DOUGLAS";"DC8";"12";1;0
"DOUGLAS";"DC8";"31";5;0
"DOUGLAS";"DC8";"32";1;0
"DOUGLAS";"DC8";"33";16;0
"DOUGLAS";"DC8";"43";1;0
"DOUGLAS";"DC8";"51";9;0
"DOUGLAS";"DC8";"52";3;0
"DOUGLAS";"DC8";"53";1;0
"DOUGLAS";"DC8";"55";6;0
"DOUGLAS";"DC8";"61";70;0
"DOUGLAS";"DC8";"61F";12;0
"DOUGLAS";"DC8";"62";49;1
"DOUGLAS";"DC8";"62F";6;1
"DOUGLAS";"DC8";"63";105;0
"DOUGLAS";"DC8";"63F";1;0
"DOUGLAS";"DC8";"71";78;0
"DOUGLAS";"DC8";"73";6;0
"DOUGLAS";"DC8";"73F";38;0
"DOUGLAS";"DC8";"F54";24;0
"DOUGLAS";"DC8";"F55";5;0
"DOUGLAS";"DC8";"UNDESIGNATED SERIES";97;0
"DOUGLAS";"DC9";"14";133;0
"DOUGLAS";"DC9";"15";136;0
"DOUGLAS";"DC9";"15F";1;0
"DOUGLAS";"DC9";"21";1;0
"DOUGLAS";"DC9";"31";567;4
"DOUGLAS";"DC9";"32";320;0
"DOUGLAS";"DC9";"32F";8;0
"DOUGLAS";"DC9";"33F";14;0
"DOUGLAS";"DC9";"34";7;0
"DOUGLAS";"DC9";"34F";1;0
"DOUGLAS";"DC9";"41";20;0
"DOUGLAS";"DC9";"51";174;0
"DOUGLAS";"DC9";"80";36;0
"DOUGLAS";"DC9";"81";78;0
"DOUGLAS";"DC9";"82";566;0
"DOUGLAS";"DC9";"83";135;0
"DOUGLAS";"DC9";"87";8;0
"DOUGLAS";"DC9";"UNDESIGNATED SERIES";427;1
"DOUGLAS";"R4D";"8";6;0
"DRUINE";"D31";"NO SERIES EXISTS";1;0
"EAA";"BIPLANE";"P1";2;0
"EAA";"BIPLANE";"P2";7;0
"EAA";"BIPLANE";"UNDESIGNATED SERIES";18;0
"EAGLE";"C7";"NO SERIES EXISTS";2;0
"EAGLE";"DW1";"NO SERIES EXISTS";4;0
"ECLIPSE AVIATION";"500";"NO SERIES EXISTS";15;0
"EIPPER";"QUICKSILVER";"GT500";19;0
"EMAIR";"MA1";"B";1;0
"EMAIR";"MA1";"UNDESIGNATED SERIES";4;0
"EMBRAER";"EMB110";"P1";137;0
"EMBRAER";"EMB110";"P2";10;1
"EMBRAER";"EMB110";"UNDESIGNATED SERIES";2;0
"EMBRAER";"EMB120";"ER";55;0
"EMBRAER";"EMB120";"FC";3;0
"EMBRAER";"EMB120";"UNDESIGNATED SERIES";192;1
"EMBRAER";"EMB135";"BJ";1;0
"EMBRAER";"EMB135";"ER";6;0
"EMBRAER";"EMB135";"KL";29;0
"EMBRAER";"EMB135";"LR";28;0
"EMBRAER";"EMB145";"EP";6;0
"EMBRAER";"EMB145";"ER";11;0
"EMBRAER";"EMB145";"LR";168;0
"EMBRAER";"EMB145";"MP";3;0
"EMBRAER";"EMB145";"UNDESIGNATED SERIES";48;0
"EMBRAER";"EMB145";"XR";24;0
"EMBRAER";"EMB500";"NO SERIES EXISTS";11;0
"EMBRAER";"EMB505";"NO SERIES EXISTS";3;0
"EMBRAER";"ERJ170";"100";18;0
"EMBRAER";"ERJ170";"100LR";4;0
"EMBRAER";"ERJ170";"100SE";5;0
"EMBRAER";"ERJ170";"100SU";9;0
"EMBRAER";"ERJ170";"200";20;0
"EMBRAER";"ERJ170";"200LR";6;0
"EMBRAER";"ERJ190";"100";8;0
"EMBRAER";"ERJ190";"100IGW";2;0
"ENSTROM";"280";"C";29;0
"ENSTROM";"280";"F";5;0
"ENSTROM";"280";"FX";8;1
"ENSTROM";"280";"UNDESIGNATED SERIES";5;0
"ENSTROM";"F28";"A";46;0
"ENSTROM";"F28";"C";43;0
"ENSTROM";"F28";"F";10;1
"ENSTROM";"F28";"UNDESIGNATED SERIES";3;0
"ERCOUPE";"415";"C";100;0
"ERCOUPE";"415";"CD";8;0
"ERCOUPE";"415";"D";22;0
